cx,cy,x_mm,y_mm,width_px_rect,width_px_sub,width_mm,length_mm,angle,spread,dark_frac,grade,frame
521.0,994.5,130.2,248.6,6.0,10.83,2.71,12.2,-90.0,0.143,0.0,GOOD,1
374.0,928.5,93.5,232.1,6.0,11.53,2.88,10.8,-90.0,0.157,0.0,GOOD,1
359.5,930.0,89.9,232.5,5.0,8.09,2.02,11.5,-90.0,0.168,0.0,GOOD,1
67.0,895.5,16.7,223.9,24.0,22.72,5.68,12.7,-90.0,0.052,1.0,WATCH,1
156.5,893.0,39.1,223.2,25.0,23.67,5.92,13.5,-90.0,0.039,1.0,WATCH,1
1072.5,890.0,268.1,222.5,27.0,26.87,6.72,13.5,-90.0,0.066,1.0,REJECT,1
201.5,876.5,50.4,219.1,9.0,11.21,2.8,17.8,-90.0,0.123,0.0,GOOD,1
426.2,820.9,106.6,205.2,28.05,25.61,6.4,50.4,-3.3,0.026,1.0,REJECT,1
62.4,769.5,15.6,192.4,11.34,24.5,6.12,25.8,-2.5,0.028,1.0,REJECT,1
877.1,808.6,219.3,202.2,13.58,26.16,6.54,46.8,-1.8,0.027,1.0,REJECT,1
892.3,800.0,223.1,200.0,12.49,25.86,6.46,43.1,-2.0,0.029,1.0,REJECT,1
978.5,814.5,244.6,203.6,31.0,27.18,6.79,51.8,-90.0,0.044,1.0,REJECT,1
151.2,766.1,37.8,191.5,13.7,25.9,6.47,27.9,-5.9,0.019,1.0,REJECT,1
134.4,765.6,33.6,191.4,11.13,25.53,6.38,27.3,-2.1,0.007,1.0,REJECT,1
1062.0,763.5,265.5,190.9,12.0,27.26,6.82,26.8,-90.0,0.016,1.0,REJECT,1
515.8,812.7,129.0,203.2,31.64,25.93,6.48,53.6,-4.8,0.284,0.8,REJECT,1
606.7,810.1,151.7,202.5,29.63,25.19,6.3,53.0,-2.2,0.27,0.87,REJECT,1
181.0,641.5,45.2,160.4,6.0,11.82,2.96,12.8,-90.0,0.203,0.0,GOOD,1
915.0,597.0,228.8,149.2,4.0,10.26,2.57,10.5,-90.0,0.074,0.0,GOOD,1
1033.5,587.0,258.4,146.8,3.0,10.15,2.54,13.5,-90.0,0.053,0.0,GOOD,1
37.3,534.1,9.3,133.5,11.89,27.83,6.96,61.0,-0.6,0.023,1.0,REJECT,1
330.0,530.4,82.5,132.6,14.09,32.75,8.19,61.3,-1.3,0.019,0.73,REJECT,1
792.7,523.4,198.2,130.9,13.64,30.15,7.54,60.3,-0.5,0.27,1.0,REJECT,1
309.2,530.5,77.3,132.6,16.77,33.61,8.4,66.3,-89.5,0.202,0.93,REJECT,1
772.2,527.5,193.0,131.9,12.79,28.9,7.23,66.2,-89.7,0.152,0.87,REJECT,1
497.2,527.6,124.3,131.9,16.95,34.21,8.55,68.3,-0.7,0.033,1.0,REJECT,1
1057.2,528.0,264.3,132.0,14.69,34.47,8.62,69.0,-0.2,0.025,1.0,REJECT,1
910.5,361.0,227.6,90.2,5.0,9.81,2.45,10.0,-90.0,0.032,0.0,GOOD,1
452.0,367.0,113.0,91.7,6.0,12.04,3.01,44.0,-90.0,0.106,0.0,GOOD,1
51.5,192.2,12.9,48.0,13.33,26.59,6.65,67.9,-84.7,0.039,1.0,REJECT,1
929.5,22.5,232.4,5.6,5.0,11.04,2.76,11.2,-90.0,0.139,0.0,GOOD,1
791.7,158.8,197.9,39.7,29.61,24.32,6.08,79.3,-87.8,0.063,0.93,REJECT,1
