frame,zone,width_mm,slot_len_mm,dy
1,3,7.293,56.1,0.0
23,1,5.197,55.8,3
25,1,5.11,57.5,2
27,1,4.963,60.5,5
27,2,5.312,56.0,5
27,3,6.695,56.5,5
29,1,4.938,61.4,2
29,2,5.28,57.0,2
29,3,6.495,59.0,2
31,1,4.851,63.2,4
31,2,5.176,59.0,4
31,3,6.343,61.5,4
33,1,4.849,63.8,3
33,2,4.967,62.2,3
33,3,6.174,64.2,3
35,1,4.943,63.1,3
35,2,4.931,64.0,3
35,3,6.046,66.5,3
37,1,5.004,63.2,4
37,2,4.817,66.8,4
37,3,5.817,68.9,4
39,1,5.026,62.8,4
39,2,4.815,66.4,4
39,3,5.851,69.0,4
41,1,4.981,62.5,4
41,2,4.664,68.5,4
41,3,6.184,65.9,4
43,1,4.85,62.8,4
43,2,4.606,68.1,4
43,3,6.111,66.0,4
45,1,4.812,63.0,4
45,2,4.434,69.0,4
45,3,6.072,65.8,4
47,1,4.754,63.0,3
47,2,4.353,68.8,3
47,3,5.9,66.0,3
49,1,4.575,64.5,4
49,2,4.196,70.0,4
49,3,5.722,66.5,4
51,1,4.628,62.8,3
51,2,4.095,69.6,3
51,3,5.572,66.8,3
53,2,3.858,71.5,4
53,3,5.454,66.9,4
55,2,3.893,69.6,3
55,3,5.508,66.1,3
57,2,3.975,68.2,4
57,3,5.514,65.8,4
59,2,4.156,66.1,2
59,3,5.651,65.0,2
61,2,4.78,58.2,3
67,2,4.445,61.9,4
69,2,4.037,67.2,3
71,1,5.066,57.6,4
71,2,3.724,71.0,4
71,3,5.307,65.5,4
73,1,4.63,63.0,3
73,2,3.859,69.0,3
73,3,5.165,66.5,3
75,1,4.765,62.8,3
75,2,3.848,71.0,3
75,3,4.97,67.2,3
77,1,4.864,62.5,3
77,2,4.008,69.2,3
77,3,5.061,67.1,3
79,1,4.961,62.5,2
79,2,4.083,68.9,2
79,3,5.123,67.0,2
81,1,5.09,62.4,2
81,2,4.168,69.0,2
81,3,5.208,67.2,2
83,1,5.156,62.2,3
83,2,4.304,68.5,3
83,3,5.335,67.0,3
85,1,5.331,61.1,4
85,2,4.387,68.8,4
85,3,5.356,67.5,4
87,1,5.274,61.4,3
87,2,4.472,68.8,3
87,3,5.423,67.0,3
89,1,5.342,60.2,5
89,2,4.51,68.8,5
89,3,5.381,67.0,5
91,1,5.267,60.2,3
91,2,4.516,68.4,3
91,3,5.337,67.0,3
93,1,5.236,61.1,4
93,2,4.476,68.8,4
93,3,5.317,67.2,4
95,1,5.201,61.0,3
95,2,4.539,67.5,3
95,3,5.293,67.8,3
97,1,5.055,63.8,4
97,2,4.461,70.5,4
97,3,5.365,66.5,4
99,1,5.26,60.4,5
99,2,4.51,68.8,5
99,3,5.501,67.0,5
101,1,5.471,57.0,5
101,2,4.634,66.2,5
101,3,5.452,67.5,5
103,1,5.444,55.6,5
103,2,4.786,62.8,5
103,3,5.465,66.2,5
105,2,4.895,60.8,4
105,3,5.584,64.0,4
107,2,5.112,57.2,4
107,3,5.8,60.5,4
109,3,6.218,56.8,4
137,1,5.52,55.0,2
139,1,5.566,56.0,2
141,1,5.51,58.9,4
143,1,5.576,59.0,1
145,1,5.354,62.9,4
145,2,5.31,55.0,4
145,3,5.385,63.2,4
147,1,5.265,65.0,3
147,2,5.315,55.1,3
147,3,5.262,65.4,3
149,1,5.212,65.2,4
149,2,5.331,55.5,4
149,3,5.338,65.6,4
151,1,5.445,62.8,4
151,3,5.367,65.8,4
153,1,5.325,65.0,3
153,2,5.449,55.9,3
153,3,5.362,66.0,3
155,1,5.325,64.1,5
155,2,5.342,56.2,5
155,3,5.361,65.2,5
157,1,5.571,60.5,4
157,2,5.309,56.0,4
157,3,5.4,66.0,4
159,1,5.668,58.4,4
159,2,5.2,56.0,4
159,3,5.27,67.5,4
161,1,5.79,56.5,3
161,2,5.214,55.5,3
161,3,5.333,66.0,3
163,1,5.799,55.5,3
163,2,5.182,55.0,3
163,3,5.478,63.2,3
165,3,5.662,60.5,3
167,3,5.777,58.8,3
169,3,6.122,55.2,3
201,1,6.269,55.8,4
203,1,6.327,55.8,3
205,1,6.146,58.4,3
205,3,5.794,57.0,3
207,1,6.466,56.0,3
207,2,5.076,55.8,3
207,3,5.648,59.0,3
209,1,6.273,58.2,2
209,2,5.155,55.5,2
209,3,5.537,61.2,2
211,1,6.09,60.8,3
211,2,5.298,55.0,3
211,3,5.37,63.8,3
213,1,6.395,58.2,4
213,2,5.166,57.8,4
213,3,5.375,64.2,4
215,1,6.338,58.1,4
215,2,5.461,55.2,4
215,3,5.528,62.8,4
217,1,5.845,62.0,4
217,3,5.622,62.1,4
219,1,5.723,63.0,3
219,3,5.699,61.2,3
221,1,5.708,62.5,3
221,3,5.658,61.5,3
223,1,5.606,63.0,3
223,3,5.362,63.8,3
225,1,5.489,63.6,4
225,2,4.946,55.5,4
225,3,5.285,63.5,4
227,1,5.365,64.0,4
227,2,4.419,60.8,4
227,3,5.053,64.6,4
229,1,5.471,63.2,3
229,3,4.88,65.8,3
231,1,6.044,58.0,3
231,3,4.894,64.5,3
233,1,6.063,58.2,2
233,3,5.366,59.5,2
247,2,3.78,62.6,3
249,1,5.395,63.4,3
249,2,3.581,65.8,3
249,3,5.345,57.9,3
251,1,5.605,63.0,4
251,2,3.719,65.2,4
251,3,4.905,62.2,4
253,1,5.707,62.8,3
253,2,3.757,65.5,3
253,3,4.893,63.6,3
255,1,5.851,62.8,4
255,2,3.786,66.2,4
255,3,5.001,63.5,4
257,1,5.9,62.9,3
257,2,4.008,63.2,3
257,3,5.23,61.8,3
259,1,5.912,62.9,3
259,2,4.262,60.1,3
259,3,5.286,62.1,3
261,1,5.882,62.8,3
261,3,5.328,62.1,3
263,1,5.788,63.1,4
263,2,4.803,55.2,4
263,3,5.318,62.5,4
265,1,5.799,62.8,4
265,2,4.714,56.4,4
265,3,5.305,62.1,4
267,1,5.783,63.0,3
267,2,4.664,57.1,3
267,3,5.328,62.2,3
269,1,5.763,62.8,3
269,2,4.199,62.8,3
269,3,5.297,62.5,3
271,1,5.802,62.8,4
271,2,4.154,63.8,4
271,3,5.304,62.5,4
273,1,5.646,65.8,3
273,2,4.228,62.6,3
273,3,5.295,62.8,3
275,1,5.854,63.0,5
275,2,4.233,61.8,5
275,3,5.393,62.8,5
277,1,5.756,63.2,3
277,2,4.048,64.2,3
277,3,5.356,62.6,3
279,1,6.113,58.9,5
279,2,4.234,60.8,5
279,3,5.253,62.9,5
281,1,6.311,57.0,4
281,2,4.518,56.8,4
281,3,5.221,62.9,4
283,3,5.214,62.0,4
313,1,6.447,60.1,4
315,1,6.356,62.0,2
317,1,6.279,64.0,4
317,2,5.306,57.2,4
317,3,5.786,59.0,4
319,1,6.324,64.0,4
319,2,5.113,61.2,4
319,3,5.516,62.6,4
321,1,6.387,63.5,4
321,2,4.906,64.8,4
321,3,5.501,63.8,4
323,1,6.373,64.0,3
323,2,4.949,65.2,3
323,3,5.485,64.4,3
325,1,6.532,62.2,3
325,2,4.973,65.5,3
325,3,5.49,63.8,3
327,1,6.461,63.2,2
327,2,4.907,67.6,2
327,3,5.53,63.2,2
329,1,6.404,64.8,3
329,2,5.683,58.0,3
329,3,5.378,65.0,3
331,1,6.325,65.1,3
331,2,4.821,67.9,3
331,3,5.366,65.0,3
333,1,6.484,63.6,3
333,2,4.997,65.0,3
333,3,5.277,67.2,3
335,1,6.725,61.1,4
335,2,5.136,62.5,4
335,3,5.419,65.0,4
337,1,6.885,59.1,1
337,2,5.276,60.5,1
337,3,5.323,65.6,1
339,1,7.235,56.0,3
339,2,5.428,58.1,3
339,3,5.46,63.5,3
341,2,5.572,55.5,3
341,3,5.58,61.8,3
343,3,5.869,58.5,3
373,1,7.937,58.2,2
375,1,7.844,60.4,2
377,1,7.565,63.8,3
379,1,7.328,66.2,2
379,3,6.179,58.5,2
381,1,7.231,68.2,2
381,2,6.66,56.8,2
381,3,5.993,60.2,2
383,1,7.159,69.4,3
383,2,6.699,57.9,3
383,3,5.865,62.5,3
385,1,6.966,71.5,3
385,2,6.468,60.2,3
385,3,5.717,64.9,3
387,1,6.929,72.5,3
387,2,6.394,61.5,3
387,3,5.548,67.2,3
389,1,7.003,71.4,5
389,2,6.275,64.0,5
389,3,5.456,68.6,5
391,1,7.007,72.2,3
391,2,6.154,65.2,3
391,3,5.65,66.2,3
393,1,6.966,71.8,5
393,2,6.162,65.2,5
393,3,5.697,65.8,5
395,1,6.96,71.5,2
395,2,6.119,65.2,2
395,3,5.623,67.0,2
397,1,6.85,71.5,5
397,2,6.027,65.2,5
397,3,5.626,66.2,5
399,1,6.771,71.8,3
399,2,5.946,65.0,3
399,3,5.528,66.9,3
401,1,6.679,71.9,4
401,2,5.788,66.2,4
401,3,5.397,67.2,4
403,1,7.364,66.8,4
403,2,5.807,65.2,4
403,3,5.374,66.8,4
405,1,7.032,70.8,3
405,2,5.917,63.1,3
405,3,5.304,66.6,3
407,1,7.282,68.6,3
407,2,6.19,60.8,3
407,3,5.296,66.2,3
409,1,7.344,68.1,3
409,2,6.516,58.2,3
409,3,5.499,63.9,3
411,1,7.364,67.9,4
413,1,7.324,68.1,3
415,1,7.339,68.0,3
417,1,7.32,67.8,2
419,1,7.021,69.0,3
421,1,6.63,71.8,2
423,1,6.632,72.5,3
423,2,6.033,64.0,3
425,1,6.81,71.5,4
425,2,5.951,66.0,4
425,3,5.746,61.2,4
427,1,6.817,72.0,2
427,2,6.227,64.0,2
427,3,5.108,68.2,2
429,1,6.952,71.9,4
429,2,6.487,62.0,4
429,3,5.213,68.0,4
431,1,6.989,71.5,2
431,2,6.36,63.9,2
431,3,5.341,67.8,2
433,1,6.95,72.0,4
433,2,6.633,62.0,4
433,3,5.475,67.5,4
435,1,6.974,71.8,3
435,2,6.812,61.0,3
435,3,5.476,67.8,3
437,1,6.975,71.9,4
437,2,6.804,61.8,4
437,3,5.527,67.8,4
439,1,7.761,58.5,25
439,2,6.641,61.9,25
439,3,6.403,55.0,25
441,1,7.306,60.9,5
441,2,6.926,58.6,5
443,1,6.966,63.5,4
443,2,6.755,59.2,4
445,1,7.167,60.5,3
445,2,6.774,58.2,3
447,1,7.217,59.9,3
447,2,6.831,56.8,3
449,1,7.397,58.0,3
449,2,6.496,59.4,3
451,1,7.632,56.0,3
451,2,6.564,58.1,3
451,3,6.075,55.2,3
453,2,6.664,55.8,5
485,1,5.927,58.0,3
487,1,5.801,59.5,4
487,2,6.64,56.5,4
487,3,5.5,55.4,4
489,1,6.08,57.8,3
489,2,6.709,57.5,3
489,3,5.281,58.4,3
491,1,6.042,58.5,4
491,2,6.707,59.0,4
491,3,5.23,59.5,4
493,1,5.924,60.2,3
